 part_of_speech |                   lemma                   |                                         definition                                         
 prep_phrase    | in respect                                | By comparison, comparatively.
 prep_phrase    | with flying colors                        | With very little or no effort; easily.
 prep_phrase    | by half                                   | By far; by a long chalk; to an excessive extent or degree, especially to the extent that i
 prep_phrase    | off the radar                             | Unlikely to happen or be important in the near future, or tending to escape detection or a
 prep_phrase    | WFL                                       | Initialism of within functional limits.
 prep_phrase    | AOR                                       | Initialism of at own risk.
 prep_phrase    | in form                                   | As a matter of form; formally.
 pron           | thame                                     | Them.
 pron           | he                                        | A person who identifies as male, or animal already known or implied.
 pron           | itsself                                   | Synonym of itself.
 pron           | everyone and his uncle                    | Synonym of everybody and his brother.
 pron           | Your Serene Highnesses                    | plural of Your Serene Highness
 pron           | everyone and his brother                  | Synonym of everybody and his brother.
 pron           | my nabs                                   | Alternative form of my nibs.
 pron           | same                                      | Something similar, something of the identical type.
 proverb        | if you lie with dogs you will get fleas   | Alternative form of if you lie down with dogs, you get up with fleas.
 proverb        | caveat lector                             | Reader beware.
 proverb        | the cobbler's children go barefoot        | Synonym of the shoemaker's children go barefoot
 proverb        | when God closes a door he opens a window  | Although God allows challenges, adversities, and constraints to occur in one's life, He al
 proverb        | you can't polish a turd                   | Something inherently unfavourable or unpleasant cannot be improved.
 proverb        | there's more than one way to crack an egg | Synonym of there's more than one way to skin a cat.
 proverb        | those that have get more                  | Alternative form of those that have, get.
 proverb        | ready, fire, aim                          | Used to emphasize the dangers of acting hastily.
 punct          | ⠨                                         | the decimal point, whether typeset in print as a comma or as a period.
 punct          | ‐                                         | Joins prefixes and suffixes according to stylistic rules, often to avoid confusion in pron
 punct          | ⠶⠄                                        | The closing bracket, ]
 punct          | ⠤⠤                                        | The en dash, –
 punct          | ’                                         | Indicating the omission of letters or digits.
 punct          | ⠘⠴                                        | The double quotation mark, ”
 punct          | ⠤⠤⠤                                       | The em dash, —
 punct          | ⠂                                         | the comma (,)
 suffix         | -lysis                                    | dissolving
 suffix         | -enes                                     | plural of -ene
 suffix         | -pathy                                    | suffering, feeling, emotion
 suffix         | -ept                                      | Any inceptisol with clearly defined characteristics.
 suffix         | -iad                                      | Forming the name of an epic about the indicated topic.
 suffix         | -ritide                                   | Used to form names of natriuretic peptides.
 suffix         | -4j                                       | Forming names of Java libraries or frameworks; for Java
 suffix         | -ior                                      | Suffix occurring in comparative adjectives borrowed from Latin.
 symbol         | A                                         | A tone three fifths above C in the cycle of fifths; the sixth tone of the C major scale; t
 symbol         | a͞e                                        | Alternative form of ǣ.
 symbol         | Tbit                                      | Abbreviation of terabit.
 symbol         | mi.                                       | Abbreviation of mile.
 symbol         | /thread                                   | Denotes that everything of worth has already been stated in a given message board thread.
 symbol         | ⠐⠮                                        | there
 symbol         | Bya                                       | Alternative spelling of bya (“billion years ago”).
 symbol         | ⠌⠨⠅                                       | the not-equal sign, ≠
 verb           | shambocked                                | simple past and past participle of shambock
 verb           | hang paper                                | Used other than figuratively or idiomatically: install wallpaper.
 verb           | throw one's toys out of the pram          | To lose one's temper; to throw a tantrum.
 verb           | urticating                                | present participle and gerund of urticate
 verb           | rhodomontaded                             | simple past and past participle of rhodomontade
 verb           | unrecognises                              | third-person singular simple present indicative of unrecognise
 verb           | gimble                                    | Alternative form of gimbal.
 verb           | degenered                                 | simple past and past participle of degener
(201 rows)

